Game,brand,model,category
AC,Abarth,500 Assetto Corse,TROFEO ABARTH 500
AC,Abarth,500 EsseEsse,SMALL SPORTS
AC,Abarth,500 EsseEsse Step 1,SMALL SPORTS
AC,Abarth,595 SS,VINTAGE TOURING
AC,Abarth,595 SS Step 1,VINTAGE TOURING
AC,Abarth,595 SS Step 2,VINTAGE TOURING
AC,Alfa Romeo,155 TI V6,DTM
AC,Alfa Romeo,33 Stradale,VINTAGE SUPERCARS
AC,Alfa Romeo,4C,SPORTSCARS
AC,Alfa Romeo,Giulia Quadrifoglio,SPORTSCARS
AC,Alfa Romeo,Giulietta QV,SMALL SPORTS
AC,Alfa Romeo,GTA,VINTAGE TOURING
AC,Alfa Romeo,Mito QV,SMALL SPORTS
AC,Alfa Romeo,QV Launch Edition 2014,SMALL SPORTS
ACC,Alpine,A110 GT4,GT4
ACC,AMR,V12 Vantage GT3 2013,GT3
ACC,AMR,V8 Vantage GT3 2019,GT3
ACC,AMR,Vantage GT4,GT4
AC,Audi,R18 e-tron quattro 2014,LMP1
AC,Audi,R8 LMS 2016,GT3
ACC,Audi,R8 LMS 2015,GT3
ACC,Audi,R8 LMS Evo 2019,GT3
ACC,Audi,R8 LMS GT4,GT4
AC,Audi,R8 LMS Ultra,GT3
AC,Audi,R8 V10 Plus,SUPERCARS
AC,Audi,S1,SMALL SPORTS
AC,Audi,Sport quattro,SPORTSCARS
AC,Audi,Sport quattro S1 E2,RALLY
AC,Audi,Sport quattro Step 1,SPORTSCARS
AC,Audi,TT Cup,TT CUP
AC,Audi,TT RS VLN,TT CUP
ACC,Bentley,Continental GT3 2015,GT3
ACC,Bentley,Continental GT3 2018,GT3
AC,BMW,1 Series M Coupe,SPORTSCARS
AC,BMW,1 Series M Coupe Stage 3,SPORTSCARS
AC,BMW,Coupe Akrapovic Edition,SPORTSCARS
AC,BMW,M235i Racing,GT4
AC,BMW,M3 E30,SMALL SPORTS
AC,BMW,M3 E30 Drift,DRIFT
AC,BMW,M3 E30 Gr.A 92,SPORTSCARS
AC,BMW,M3 E30 Group A,DTM
AC,BMW,M3 E30 Step 1,SMALL SPORTS
AC,BMW,M3 E92,SPORTSCARS
AC,BMW,M3 E92 Drift,DRIFT
AC,BMW,M3 E92 Step 1,SPORTSCARS
AC,BMW,M3 GT2,GT2
AC,BMW,M4 Coupe,SPORTSCARS
ACC,BMW,M4 GT4,GT4
