Track,Game,Photo,BEST,PILOTA,AUTO,DATA
Barcelona GP,AC,https://www.gtitalia.it/track_map/ac/Barcelona_gp.png,01:31.129,Marcidaje,Lotus Exos T125,07/05/2020 12.19.41
Barcelona Moto,AC,https://www.gtitalia.it/track_map/ac/Barcelona_moto.png,01:43.651,Fabfast3,BMW M3 GT2,23/04/2020 19.33.57
Black Cat County,AC,https://www.gtitalia.it/track_map/ac/BlackCatCounty.png,02:34.383,zioone46,Ferrari 488 GT3,20/05/2020 23.15.00
Black Cat County Long,AC,https://www.gtitalia.it/track_map/ac/BlackCatCounty_long.png,02:21.664,Jonnino990,Audi Sport quattro S1 E2,26/04/2020 22.08.59
Black Cat County Short,AC,https://www.gtitalia.it/track_map/ac/BlackCatCounty_short.png,02:28.682,Seo8996,Porsche 962C Short tail,23/03/2021 18.48.06
Brands Hatch GP,AC,https://www.gtitalia.it/track_map/ac/BrandsHatch_gp.png,01:06.030,ste962,Lotus Type 98T,20/06/2020 17.09.17
Brands Hatch Indy,AC,https://www.gtitalia.it/track_map/ac/BrandsHatch_indy.png,00:57.347,Jonnino990,Lotus Type 25,29/04/2020 22.04.40
Highlands,AC,https://www.gtitalia.it/track_map/ac/Highlands.png,02:35.972,Gomitoaterra,Toyota Celica ST185,05/05/2020 19.34.35
Highlands drift,AC,https://www.gtitalia.it/track_map/ac/Highlands.png,,,,
Highlands Long,AC,https://www.gtitalia.it/track_map/ac/Highlands_long.png,03:11.143,Badger_St,Mercedes-Benz C9 1989 LM,31/08/2021 21.36.09
Highlands Short,AC,https://www.gtitalia.it/track_map/ac/Highlands_short.png,00:49.923,U_Fantozzi,Mazda MX-5 Cup,25/05/2021 21.22.37
Imola,AC,https://www.gtitalia.it/track_map/ac/Imola.png,01:19.280,ale06basta,Ferrari F2004,15/07/2021 0.41.03
Laguna Seca,AC,https://www.gtitalia.it/track_map/ac/LagunaSeca.png,01:22.099,Gomitoaterra,McLaren 650S GT3,28/05/2020 6.36.16
Magione,AC,https://www.gtitalia.it/track_map/ac/Magione.png,01:08.170,Seo8996,Tatuus FA01,18/02/2021 16.15.44
Monza,AC,https://www.gtitalia.it/track_map/ac/Monza.png,01:41.746,Gomitoaterra,Porsche 962C Short tail,05/05/2020 19.22.47
Monza 1966 Full Course,AC,https://www.gtitalia.it/track_map/ac/Monza1966_fullCourse.png,02:49.721,Freeulano83,Maserati 250F 6 cylinder,17/05/2020 19.01.55
Monza 1966 Junior Course,AC,https://www.gtitalia.it/track_map/ac/Monza1966 - Junior Course.png,00:48.205,Gomitoaterra,Tatuus FA01,17/05/2020 15.15.32
Monza 1966 Road Course,AC,https://www.gtitalia.it/track_map/ac/Monza1966_roadCourse.png,01:28.405,Jonnino990,Lotus Type 49,10/05/2020 22.22.46
Mugello,AC,https://www.gtitalia.it/track_map/ac/Mugello.png,01:20.731,ale06basta,Ferrari F2004,18/10/2021 11.49.03
Nordschleife,AC,https://www.gtitalia.it/track_map/ac/Nordschleife.png,04:54.448,U_Fantozzi,Ferrari F2004,18/01/2021 8.29.41
Nordschleife Endurance,AC,https://www.gtitalia.it/track_map/ac/Nordschleife_endurance.png,07:13.151,ste962,Lotus Type 98T,01/05/2021 17.22.27
Nordschleife Endurance Cup,AC,https://www.gtitalia.it/track_map/ac/Nordschleife_enduranceCup.png,08:04.942,zioone46,Lotus Type 72D,22/05/2020 14.42.25
Nurburgring GP,AC,https://www.gtitalia.it/track_map/ac/Nurburgring_gp.png,01:58.756,MAVER1CK-MKIII,McLaren P1,23/04/2020 19.33.34
Nurburgring GP (GT),AC,https://www.gtitalia.it/track_map/ac/Nurburgring_gpGt.png,01:54.015,Cattio_01,Chevrolet Corvette C7R,04/05/2020 1.47.33
Nurburgring Sprint,AC,https://www.gtitalia.it/track_map/ac/Nurburgring_sprint.png,01:40.313,Motorbreath_66,Toyota Supra Time Attack,23/04/2020 19.37.57
Nurburgring Sprint(GT),AC,https://www.gtitalia.it/track_map/ac/Nurburgring_sprintGt.png,01:39.031,Shockps,Porsche 718 Cayman S,23/04/2020 20.00.20
Red Bull Ring GP,AC,https://www.gtitalia.it/track_map/ac/RedBullRing.png,01:28.653,Gomitoaterra,McLaren 650S GT3,24/04/2020 11.51.05
Red Bull Ring National,AC,https://www.gtitalia.it/track_map/ac/RedBullRing_national.png,00:57.792,Badger_St,Alfa Romeo 33 Stradale,28/08/2021 18.15.26
Silverstone International,AC,https://www.gtitalia.it/track_map/ac/Silverstone_international.png,01:01.510,U_Fantozzi,Tatuus FA01,21/03/2021 12.38.18
Silverstone National,AC,https://www.gtitalia.it/track_map/ac/Silverstone_national.png,01:04.786,Gomitoaterra,Lotus Exige 240R,03/05/2020 8.49.04
Silverstone 1967,AC,https://www.gtitalia.it/track_map/ac/Silverstone1967.png,01:23.891,ste962,Lotus Type 72D,18/03/2021 16.42.31
Silverstone GP,AC,https://www.gtitalia.it/track_map/ac/Silverstone_gp.png,01:37.994,zioone46,Lotus Exos T125 Stage 1,22/05/2020 19.20.05
SPA,AC,https://www.gtitalia.it/track_map/ac/Spa.png,01:41.670,U_Fantozzi,Ferrari F2004,03/01/2021 21.54.17
Vallelunga,AC,https://www.gtitalia.it/track_map/ac/Vallelunga.png,01:32.078,Gomitoaterra,McLaren 650S GT3,05/05/2020 19.06.52
Vallelunga Classic,AC,https://www.gtitalia.it/track_map/ac/Vallelunga_classic.png,01:10.628,Seo8996,Tatuus FA01,27/03/2021 19.41.21
Vallelunga Club,AC,https://www.gtitalia.it/track_map/ac/Vallelunga_club.png,,,,
Zandvoort,AC,https://www.gtitalia.it/track_map/ac/Zandvoort.png,01:21.890,Skokko82,Lotus Exos T125,14/10/2021 13.19.31
Barcelona,ACC,https://www.gtitalia.it/track_map/acc/Barcellona.png,01:42.585,Lore28ma,Porsche 991 II GT3 R 2019,09/12/2020 10.22.34
Brands Hatch,ACC,https://www.gtitalia.it/track_map/acc/BrandsHatch.png,01:23.394,Duke-475,Audi R8 LMS Evo 2019,06/04/2021 11.12.06
Donnington,ACC,https://www.gtitalia.it/track_map/acc/DoningtonCircuit.png,,,,
Hungaroring,ACC,https://www.gtitalia.it/track_map/acc/hungaroring.png,01:43.458,zioone46,Ferrari 488 GT3 2018,23/03/2021 13.42.57
Imola,ACC,https://www.gtitalia.it/track_map/acc/Imola.png,01:42.111,settantahp,McLaren 720S GT3 2019,19/06/2021 17.56.45
Kyalami,ACC,https://www.gtitalia.it/track_map/acc/Kyalami.png,01:40.503,Lore28ma,Lamborghini Huracan GT3 Evo 2019,16/04/2021 22.09.16
Laguna Seca,ACC,https://www.gtitalia.it/track_map/acc/LagunaSeca.png,01:21.780,Duke-475,Ferrari 488 GT3 2018,06/04/2021 11.05.56
Misano,ACC,https://www.gtitalia.it/track_map/acc/Misano.png,01:34.215,Skokko82,Ferrari 488 GT3 EVO 2020,07/09/2021 20.16.50
Monza,ACC,https://www.gtitalia.it/track_map/acc/Monza.png,01:47.259,Lore28ma,Ferrari 488 GT3 EVO 2020,25/11/2021 10.27.30
Mount Panorama,ACC,https://www.gtitalia.it/track_map/acc/MountPanorama.png,02:01.119,MattCerv23,Ferrari 488 GT3 EVO 2020,08/04/2021 18.51.53
Nurburgring,ACC,https://www.gtitalia.it/track_map/acc/Nurburgring_gpGt.png,01:53.589,Lore28ma,Porsche 991 II GT3 R 2019,09/12/2020 10.27.30
Oulton Park,ACC,https://www.gtitalia.it/track_map/acc/OultonPark.png,,,,
Paul Ricard,ACC,https://www.gtitalia.it/track_map/acc/PaulRicard.png,01:54.264,Lore28ma,Ferrari 488 GT3 EVO 2020,24/09/2021 18.26.47
Silverstone,ACC,https://www.gtitalia.it/track_map/acc/Silverstone_gp.png,,,,
Snetterton,ACC,https://www.gtitalia.it/track_map/acc/Snetterton300.png,01:59.307,soloperalex06,Ferrari 488 GT3 EVO 2020,11/11/2021 11.03.10
SPA,ACC,https://www.gtitalia.it/track_map/acc/Spa.png,02:16.278,Duke-475,Ferrari 488 GT3 2018,06/04/2021 11.53.21
Suzuka,ACC,https://www.gtitalia.it/track_map/acc/Suzuka.png,01:59.577,Lore28ma,Mercedes-AMG GT3 EVO 2020,12/04/2021 10.29.15
Zandvoort,ACC,https://www.gtitalia.it/track_map/acc/Zandvoort.png,01:35.283,SirAmadeus89,Bentley Continental GT3 2018,18/11/2021 10.57.15
Zolder,ACC,https://www.gtitalia.it/track_map/acc/Zolder.png,01:28.248,zioone46,Ferrari 488 GT3 EVO 2020,04/08/2021 16.47.30
